id,iteration_no,run_name,sent_id,error_type,gold_class,pred_class,gold_span,pred_span,eval_cond
129,first,mbert_train_diac,111,spurious,O,PERSON,,"(25,31)",diac
130,first,mbert_train_diac,112,missed,WORK_OF_ART,O,"(29,29)",,diac
131,first,mbert_train_diac,112,missed,WORK_OF_ART,O,"(30,30)",,diac
132,first,mbert_train_diac,114,spurious,O,NUMERIC,,"(27,28)",diac
133,first,mbert_train_diac,117,missed,DATETIME,O,"(42,43)",,diac
134,first,mbert_train_diac,119,wrong_boundary,PERSON,PERSON,"(11,18)","(11,11)",diac
135,first,mbert_train_diac,120,spurious,O,PERSON,,"(41,42)",diac
136,first,mbert_train_diac,121,wrong_boundary,PERSON,PERSON,"(64,67)","(67,67)",diac
137,first,mbert_train_diac,121,missed,PERSON,O,"(62,62)",,diac
138,first,mbert_train_diac,121,missed,PERSON,O,"(63,63)",,diac
139,first,mbert_train_diac,122,spurious,O,PERSON,,"(100,100)",diac
140,first,mbert_train_diac,122,spurious,O,PERSON,,"(101,101)",diac
141,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(3,3)",,diac
142,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(4,4)",,diac
143,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(5,13)",,diac
144,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(15,19)",,diac
145,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(21,21)",,diac
146,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(22,31)",,diac
147,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(38,38)",,diac
148,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(39,39)",,diac
149,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(40,58)",,diac
150,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(61,81)",,diac
151,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(83,83)",,diac
152,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(84,95)",,diac
153,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(97,97)",,diac
154,first,mbert_train_diac,123,missed,WORK_OF_ART,O,"(98,106)",,diac
155,first,mbert_train_diac,124,wrong_boundary,EVENT,EVENT,"(32,44)","(32,37)",diac
156,first,mbert_train_diac,125,missed,ORDINAL,O,"(13,13)",,diac
157,first,mbert_train_diac,125,missed,ORDINAL,O,"(14,14)",,diac
158,first,mbert_train_diac,125,missed,ORDINAL,O,"(15,15)",,diac
159,first,mbert_train_diac,126,missed,ORG,O,"(20,23)",,diac
160,first,mbert_train_diac,128,wrong_type,LOC,GPE,"(139,139)","(139,139)",
161,first,mbert_train_diac,128,wrong_type,LOC,GPE,"(142,143)","(142,143)",
162,first,mbert_train_diac,128,wrong_type,LOC,GPE,"(141,141)","(141,141)",
163,first,mbert_train_diac,128,wrong_type,LOC,GPE,"(140,140)","(140,140)",
164,first,mbert_train_diac,131,spurious,O,ORG,,"(3,3)",diac
165,first,mbert_train_diac,131,spurious,O,ORG,,"(4,8)",diac
166,first,mbert_train_diac,135,missed,WORK_OF_ART,O,"(13,13)",,diac
167,first,mbert_train_diac,135,missed,WORK_OF_ART,O,"(14,14)",,diac
168,first,mbert_train_diac,135,missed,WORK_OF_ART,O,"(15,15)",,diac
169,first,mbert_train_diac,135,missed,WORK_OF_ART,O,"(16,30)",,diac
170,first,mbert_train_diac,135,missed,GPE,O,"(119,121)",,diac
171,first,mbert_train_diac,135,spurious,O,LOC,,"(110,110)",diac
172,first,mbert_train_diac,135,spurious,O,LOC,,"(111,121)",diac
173,first,mbert_train_diac,136,missed,PERSON,O,"(65,65)",,diac
174,first,mbert_train_diac,136,missed,PERSON,O,"(66,66)",,diac
175,first,mbert_train_diac,136,missed,PERSON,O,"(67,67)",,diac
176,first,mbert_train_diac,136,missed,PERSON,O,"(68,73)",,diac
177,first,mbert_train_diac,136,spurious,O,PERSON,,"(4,4)",diac
178,first,mbert_train_diac,136,spurious,O,PERSON,,"(5,5)",diac
179,first,mbert_train_diac,136,spurious,O,PERSON,,"(6,6)",diac
180,first,mbert_train_diac,136,spurious,O,PERSON,,"(7,7)",diac
181,first,mbert_train_diac,136,spurious,O,PERSON,,"(8,8)",diac
182,first,mbert_train_diac,136,spurious,O,PERSON,,"(9,24)",diac
183,first,mbert_train_diac,136,spurious,O,PERSON,,"(63,64)",diac
184,first,mbert_train_diac,138,missed,ORG,O,"(59,72)",,diac
185,first,mbert_train_diac,138,missed,ORG,O,"(82,82)",,diac
186,first,mbert_train_diac,138,missed,ORG,O,"(83,83)",,diac
187,first,mbert_train_diac,138,missed,ORG,O,"(84,85)",,diac
188,first,mbert_train_diac,138,missed,ORG,O,"(179,180)",,diac
189,first,mbert_train_diac,140,spurious,O,DATETIME,,"(2,2)",diac
190,first,mbert_train_diac,141,missed,NAT_REL_POL,O,"(42,42)",,diac
191,first,mbert_train_diac,141,missed,NAT_REL_POL,O,"(43,44)",,diac
192,first,mbert_train_diac,141,missed,NAT_REL_POL,O,"(67,71)",,diac
193,first,mbert_train_diac,141,spurious,O,ORG,,"(11,13)",diac
194,first,mbert_train_diac,143,missed,ORG,O,"(20,20)",,diac
195,first,mbert_train_diac,143,missed,ORG,O,"(21,31)",,diac
196,first,mbert_train_diac,143,spurious,O,NAT_REL_POL,,"(25,25)",diac
197,first,mbert_train_diac,143,spurious,O,NAT_REL_POL,,"(26,26)",diac
198,first,mbert_train_diac,143,spurious,O,NAT_REL_POL,,"(27,31)",diac
199,first,mbert_train_diac,144,missed,ORDINAL,O,"(28,28)",,diac
200,first,mbert_train_diac,144,missed,ORDINAL,O,"(29,30)",,diac
201,first,mbert_train_diac,144,missed,ORDINAL,O,"(37,37)",,diac
202,first,mbert_train_diac,145,missed,PERSON,O,"(18,18)",,diac
203,first,mbert_train_diac,145,missed,PERSON,O,"(19,19)",,diac
204,first,mbert_train_diac,145,missed,PERSON,O,"(20,20)",,diac
205,first,mbert_train_diac,145,missed,PERSON,O,"(21,28)",,diac
206,first,mbert_train_diac,146,missed,ORDINAL,O,"(9,10)",,diac
207,first,mbert_train_diac,146,missed,GPE,O,"(59,59)",,diac
208,first,mbert_train_diac,146,missed,GPE,O,"(60,65)",,diac
209,first,mbert_train_diac,147,wrong_boundary,ORDINAL,ORDINAL,"(39,43)","(39,39)",diac
210,first,mbert_train_diac,147,missed,PERSON,O,"(3,5)",,diac
211,first,mbert_train_diac,147,missed,PERSON,O,"(44,44)",,diac
212,first,mbert_train_diac,147,missed,PERSON,O,"(45,45)",,diac
213,first,mbert_train_diac,147,missed,PERSON,O,"(46,47)",,diac
214,first,mbert_train_diac,147,missed,PERSON,O,"(68,68)",,diac
215,first,mbert_train_diac,147,missed,PERSON,O,"(69,69)",,diac
216,first,mbert_train_diac,152,wrong_boundary,PERSON,PERSON,"(6,12)","(6,7)",diac
217,first,mbert_train_diac,152,spurious,O,PERSON,,"(9,9)",diac
218,first,mbert_train_diac,152,spurious,O,PERSON,,"(10,10)",diac
219,first,mbert_train_diac,152,spurious,O,PERSON,,"(11,12)",diac
220,first,mbert_train_diac,153,missed,DATETIME,O,"(28,28)",,diac
221,first,mbert_train_diac,153,missed,DATETIME,O,"(29,32)",,diac
222,first,mbert_train_diac,153,missed,FACILITY,O,"(42,42)",,diac
223,first,mbert_train_diac,154,missed,FACILITY,O,"(3,11)",,diac
224,first,mbert_train_diac,154,missed,WORK_OF_ART,O,"(29,36)",,diac
225,first,mbert_train_diac,154,spurious,O,EVENT,,"(3,7)",diac
226,first,mbert_train_diac,154,spurious,O,GPE,,"(9,9)",diac
227,first,mbert_train_diac,154,spurious,O,GPE,,"(10,10)",diac
228,first,mbert_train_diac,154,spurious,O,GPE,,"(11,11)",diac
229,first,mbert_train_diac,154,spurious,O,PERSON,,"(33,33)",diac
230,first,mbert_train_diac,154,spurious,O,PERSON,,"(34,34)",diac
231,first,mbert_train_diac,154,spurious,O,PERSON,,"(35,36)",diac
232,first,mbert_train_diac,155,missed,PERSON,O,"(4,4)",,diac
233,first,mbert_train_diac,159,missed,ORG,O,"(15,15)",,diac
234,first,mbert_train_diac,159,missed,ORG,O,"(16,17)",,diac
235,first,mbert_train_diac,160,missed,EVENT,O,"(50,50)",,diac
236,first,mbert_train_diac,160,missed,EVENT,O,"(51,51)",,diac
237,first,mbert_train_diac,160,missed,EVENT,O,"(52,52)",,diac
238,first,mbert_train_diac,160,missed,EVENT,O,"(53,54)",,diac
239,first,mbert_train_diac,162,wrong_boundary,GPE,GPE,"(38,44)","(38,38)",diac
240,first,mbert_train_diac,163,wrong_type,PERSON,ORG,"(7,11)","(7,11)",
241,first,mbert_train_diac,166,wrong_type,NAT_REL_POL,PERSON,"(32,34)","(32,34)",
242,first,mbert_train_diac,166,missed,PERSON,O,"(131,142)",,diac
243,first,mbert_train_diac,166,spurious,O,PERSON,,"(91,96)",diac
244,first,mbert_train_diac,169,spurious,O,PERSON,,"(25,25)",diac
245,first,mbert_train_diac,169,spurious,O,PERSON,,"(26,30)",diac
246,first,mbert_train_diac,170,missed,ORG,O,"(12,14)",,diac
247,first,mbert_train_diac,172,wrong_type,WORK_OF_ART,ORG,"(76,83)","(76,83)",
248,first,mbert_train_diac,172,missed,WORK_OF_ART,O,"(15,28)",,diac
249,first,mbert_train_diac,172,spurious,O,NAT_REL_POL,,"(18,21)",diac
250,first,mbert_train_diac,172,spurious,O,PERSON,,"(24,27)",diac
251,first,mbert_train_diac,176,missed,LOC,O,"(20,22)",,diac
252,first,mbert_train_diac,176,spurious,O,GPE,,"(42,42)",diac
253,first,mbert_train_diac,176,spurious,O,GPE,,"(43,43)",diac
254,first,mbert_train_diac,177,missed,PERSON,O,"(28,28)",,diac
255,first,mbert_train_diac,177,missed,PERSON,O,"(29,29)",,diac
256,first,mbert_train_diac,177,missed,PERSON,O,"(30,31)",,diac
257,first,mbert_train_diac,179,missed,ORDINAL,O,"(56,56)",,diac
258,first,mbert_train_diac,179,missed,ORDINAL,O,"(57,57)",,diac
259,first,mbert_train_diac,179,missed,ORDINAL,O,"(58,63)",,diac
260,first,mbert_train_diac,180,spurious,O,PERSON,,"(19,19)",diac
261,first,mbert_train_diac,180,spurious,O,ORG,,"(33,38)",diac
262,first,mbert_train_diac,186,wrong_type,NAT_REL_POL,PERSON,"(35,35)","(35,35)",
263,first,mbert_train_diac,186,missed,NAT_REL_POL,O,"(36,56)",,diac
264,first,mbert_train_diac,186,spurious,O,PERSON,,"(36,36)",diac
265,first,mbert_train_diac,194,wrong_boundary,PERSON,PERSON,"(31,49)","(31,35)",diac
266,first,mbert_train_diac,194,missed,FACILITY,O,"(84,95)",,diac
267,first,mbert_train_diac,194,spurious,O,PERSON,,"(36,36)",diac
268,first,mbert_train_diac,194,spurious,O,PERSON,,"(37,49)",diac
269,first,mbert_train_diac,194,spurious,O,EVENT,,"(95,95)",diac
270,first,mbert_train_diac,195,missed,ORDINAL,O,"(78,78)",,diac
271,first,mbert_train_diac,195,missed,ORDINAL,O,"(79,79)",,diac
272,first,mbert_train_diac,196,wrong_type,NAT_REL_POL,LANGUAGE,"(30,30)","(30,30)",
273,first,mbert_train_diac,196,wrong_type,NAT_REL_POL,LANGUAGE,"(25,25)","(25,25)",
274,first,mbert_train_diac,196,wrong_type,NAT_REL_POL,LANGUAGE,"(32,32)","(32,32)",
275,first,mbert_train_diac,196,wrong_type,NAT_REL_POL,LANGUAGE,"(34,34)","(34,34)",
276,first,mbert_train_diac,196,wrong_type,NAT_REL_POL,LANGUAGE,"(22,22)","(22,22)",
277,first,mbert_train_diac,196,wrong_type,NAT_REL_POL,LANGUAGE,"(33,33)","(33,33)",
278,first,mbert_train_diac,196,wrong_boundary,NAT_REL_POL,NAT_REL_POL,"(17,20)","(17,17)",diac
279,first,mbert_train_diac,197,wrong_boundary,PERSON,PERSON,"(42,50)","(42,42)",diac
280,first,mbert_train_diac,197,wrong_boundary,WORK_OF_ART,WORK_OF_ART,"(191,203)","(191,197)",diac
281,first,mbert_train_diac,197,missed,PERSON,O,"(22,22)",,diac
282,first,mbert_train_diac,197,missed,PERSON,O,"(23,26)",,diac
283,first,mbert_train_diac,197,missed,PERSON,O,"(59,59)",,diac
284,first,mbert_train_diac,197,missed,PERSON,O,"(60,60)",,diac
285,first,mbert_train_diac,197,missed,PERSON,O,"(61,64)",,diac
286,first,mbert_train_diac,197,spurious,O,WORK_OF_ART,,"(18,27)",diac
287,first,mbert_train_diac,197,spurious,O,PERSON,,"(44,44)",diac
288,first,mbert_train_diac,197,spurious,O,PERSON,,"(45,50)",diac
289,first,mbert_train_diac,197,spurious,O,NAT_REL_POL,,"(198,198)",diac
290,first,mbert_train_diac,197,spurious,O,NAT_REL_POL,,"(199,199)",diac
291,first,mbert_train_diac,197,spurious,O,NAT_REL_POL,,"(200,200)",diac
292,first,mbert_train_diac,197,spurious,O,NAT_REL_POL,,"(201,201)",diac
293,first,mbert_train_diac,198,missed,LOC,O,"(38,38)",,diac
294,first,mbert_train_diac,198,missed,LOC,O,"(39,39)",,diac
295,first,mbert_train_diac,198,missed,LOC,O,"(40,42)",,diac
296,first,mbert_train_diac,201,missed,ORDINAL,O,"(10,10)",,diac
297,first,mbert_train_diac,201,missed,ORDINAL,O,"(11,11)",,diac
298,first,mbert_train_diac,201,missed,ORDINAL,O,"(12,13)",,diac
299,first,mbert_train_diac,205,wrong_type,PERSON,ORG,"(31,31)","(31,31)",
300,first,mbert_train_diac,205,wrong_type,PERSON,ORG,"(32,32)","(32,32)",
301,first,mbert_train_diac,205,wrong_type,PERSON,ORG,"(33,43)","(33,43)",
302,first,mbert_train_diac,205,missed,PERSON,O,"(3,4)",,diac
303,first,mbert_train_diac,208,wrong_boundary,DATETIME,DATETIME,"(5,24)","(12,12)",diac
304,first,mbert_train_diac,208,spurious,O,DATETIME,,"(13,24)",diac
305,first,mbert_train_diac,211,spurious,O,ORG,,"(33,33)",diac
306,first,mbert_train_diac,212,missed,PERSON,O,"(137,137)",,diac
307,first,mbert_train_diac,212,missed,PERSON,O,"(138,138)",,diac
308,first,mbert_train_diac,212,missed,PERSON,O,"(139,139)",,diac
309,first,mbert_train_diac,213,spurious,O,DATETIME,,"(67,67)",diac
310,first,mbert_train_diac,213,spurious,O,DATETIME,,"(68,69)",diac
311,first,mbert_train_diac,215,wrong_boundary,MONEY,MONEY,"(29,35)","(29,29)",diac
312,first,mbert_train_diac,215,wrong_boundary,MONEY,MONEY,"(54,58)","(54,57)",diac
313,first,mbert_train_diac,219,missed,FACILITY,O,"(101,112)",,diac
314,first,mbert_train_diac,221,missed,NUMERIC,O,"(53,53)",,diac
315,first,mbert_train_diac,223,wrong_boundary,ORG,ORG,"(102,122)","(102,123)",diac
316,first,mbert_train_diac,223,wrong_boundary,GPE,GPE,"(124,132)","(124,124)",diac
317,first,mbert_train_diac,224,missed,WORK_OF_ART,O,"(6,8)",,diac
318,first,mbert_train_diac,228,missed,FACILITY,O,"(56,60)",,diac
319,first,mbert_train_diac,230,wrong_boundary,EVENT,EVENT,"(18,21)","(18,22)",diac
320,first,mbert_train_diac,233,wrong_boundary,PERSON,PERSON,"(13,20)","(13,18)",diac
321,first,mbert_train_diac,234,wrong_type,LOC,GPE,"(48,48)","(48,48)",
322,first,mbert_train_diac,234,missed,LOC,O,"(12,12)",,diac
323,first,mbert_train_diac,234,missed,LOC,O,"(13,13)",,diac
324,first,mbert_train_diac,234,missed,LOC,O,"(14,20)",,diac
325,first,mbert_train_diac,234,spurious,O,PERSON,,"(2,2)",diac
326,first,mbert_train_diac,234,spurious,O,PERSON,,"(3,3)",diac
327,first,mbert_train_diac,234,spurious,O,GPE,,"(15,15)",diac
328,first,mbert_train_diac,234,spurious,O,GPE,,"(17,17)",diac
329,first,mbert_train_diac,235,wrong_type,ORDINAL,DATETIME,"(65,65)","(65,65)",
330,first,mbert_train_diac,235,wrong_boundary,DATETIME,DATETIME,"(71,71)","(66,77)",diac
331,first,mbert_train_diac,235,missed,ORDINAL,O,"(66,70)",,diac
332,first,mbert_train_diac,235,missed,DATETIME,O,"(72,72)",,diac
333,first,mbert_train_diac,235,missed,DATETIME,O,"(73,77)",,diac
334,first,mbert_train_diac,238,missed,LOC,O,"(41,48)",,diac
335,first,mbert_train_diac,240,missed,NAT_REL_POL,O,"(25,30)",,diac
336,first,mbert_train_diac,240,spurious,O,ORG,,"(12,12)",diac
337,first,mbert_train_diac,240,spurious,O,ORG,,"(13,13)",diac
338,first,mbert_train_diac,240,spurious,O,ORG,,"(14,14)",diac
339,first,mbert_train_diac,240,spurious,O,ORG,,"(15,25)",diac
340,first,mbert_train_diac,241,missed,PERSON,O,"(50,50)",,diac
341,first,mbert_train_diac,241,missed,PERSON,O,"(51,51)",,diac
342,first,mbert_train_diac,241,missed,PERSON,O,"(52,55)",,diac
343,first,mbert_train_diac,241,spurious,O,EVENT,,"(42,42)",diac
344,first,mbert_train_diac,241,spurious,O,EVENT,,"(43,43)",diac
345,first,mbert_train_diac,241,spurious,O,EVENT,,"(44,44)",diac
346,first,mbert_train_diac,241,spurious,O,EVENT,,"(45,46)",diac
347,first,mbert_train_diac,244,wrong_boundary,PERSON,PERSON,"(32,38)","(32,47)",diac
348,first,mbert_train_diac,244,missed,PERSON,O,"(43,47)",,diac
349,first,mbert_train_diac,245,wrong_boundary,PERSON,PERSON,"(86,92)","(86,86)",diac
350,first,mbert_train_diac,245,spurious,O,PERSON,,"(87,87)",diac
